mashup_id,api_id
0,0
1,1
2,1
3,2
4,3
5,4
6,1
7,5
8,6
9,7
10,1
11,1
12,1
13,8
14,9
15,1
16,10
17,11
18,1
19,12
20,1
21,1
22,1
23,13
24,14
25,15
25,16
26,1
27,10
28,1
29,17
30,18
30,19
31,20
32,21
33,22
34,1
35,1
36,1
37,17
38,23
39,24
39,25
40,10
41,1
42,10
43,26
44,27
45,1
46,28
47,29
48,17
48,6
49,10
50,1
51,10
52,1
53,1
54,18
54,30
54,31
54,25
54,21
55,6
56,10
57,1
58,32
59,10
60,1
61,33
62,34
63,1
64,10
65,1
66,35
67,18
67,30
67,25
67,21
67,36
68,1
69,1
70,35
71,37
72,10
73,38
74,36
74,39
75,18
76,1
77,35
78,1
79,10
80,37
81,15
81,40
81,41
81,42
81,43
82,37
83,18
84,44
85,35
86,45
87,1
88,46
89,15
90,47
91,18
91,19
92,37
93,48
94,35
95,6
95,49
95,30
96,2
97,50
98,51
98,21
99,38
100,37
101,52
102,6
103,53
104,54
105,35
106,17
107,55
108,37
109,56
110,36
111,6
112,57
113,6
114,57
115,58
116,30
117,57
118,59
118,60
119,61
119,25
119,62
120,21
120,63
120,64
120,65
121,57
121,66
122,6
122,52
122,67
123,68
123,69
124,57
125,61
126,70
127,6
128,57
129,71
129,16
130,41
130,72
131,57
132,73
132,74
132,6
133,75
133,76
134,6
135,44
136,77
137,78
138,79
138,80
139,81
139,82
139,83
139,84
140,85
140,86
140,87
141,88
142,9
143,89
144,21
144,90
145,6
145,91
145,92
146,9
146,2
147,93
148,9
149,74
150,68
151,9
152,1
152,94
153,12
154,44
154,6
154,95
155,6
156,37
157,37
158,96
159,57
159,97
160,25
161,98
162,99
163,36
164,100
165,101
166,102
167,103
168,94
169,104
170,105
171,6
171,106
171,107
171,108
172,106
173,109
174,110
175,111
176,17
176,6
177,57
178,37
179,6
180,57
180,112
181,113
181,114
182,6
182,115
183,57
184,37
185,116
186,16
187,117
187,118
188,57
189,6
190,57
191,119
192,30
192,25
193,57
194,9
194,120
195,9
196,57
197,121
197,122
197,123
198,124
198,125
199,57
199,66
200,41
201,126
202,127
203,110
203,128
203,129
203,130
203,131
204,2
204,132
205,57
205,133
205,132
206,134
207,71
207,135
208,57
311,136
311,6
311,137
210,138
211,139
211,41
212,140
213,141
213,64
213,142
213,30
213,143
214,57
215,63
215,64
216,144
216,145
217,139
218,57
219,146
219,147
220,148
221,149
221,6
222,6
223,150
223,74
223,6
223,151
224,152
224,153
224,154
224,155
225,156
225,82
226,25
227,157
228,158
228,159
229,160
229,161
229,84
229,162
229,21
230,163
231,21
231,156
232,127
232,164
232,165
232,166
233,167
234,51
235,167
236,11
237,168
238,30
238,25
238,36
238,169
239,57
239,132
239,170
239,171
239,66
240,172
241,21
241,25
358,30
243,57
243,66
243,173
243,174
244,175
244,6
244,176
244,25
244,177
245,178
357,2
357,179
247,180
248,181
248,85
248,182
248,183
249,184
249,185
249,186
249,187
249,188
249,25
249,30
249,189
250,190
251,191
252,184
252,30
253,44
254,192
254,25
254,8
255,193
256,194
257,195
258,196
258,30
258,25
259,197
259,198
260,199
261,200
262,51
263,57
263,173
263,132
263,171
263,66
263,201
263,202
264,57
264,66
264,163
264,25
264,30
265,203
265,21
266,204
266,205
266,206
266,207
266,208
266,209
266,210
267,211
267,6
267,39
268,52
269,212
270,51
271,213
272,17
273,213
274,214
275,215
275,44
276,216
277,217
278,218
279,219
280,57
280,173
280,35
281,220
281,221
281,22
281,222
282,9
282,223
282,25
282,36
283,224
284,218
285,225
286,8
286,226
286,21
287,21
287,227
288,136
288,228
288,43
289,6
289,149
289,127
289,229
289,43
290,230
291,197
291,231
291,30
291,127
291,161
291,21
292,232
293,136
294,233
294,234
295,235
296,6
296,236
297,237
298,238
299,8
299,239
299,240
299,6
299,0
300,241
300,242
300,243
301,244
301,23
301,30
301,80
302,245
303,246
303,0
303,52
303,247
303,248
303,74
303,2
303,249
303,250
303,15
303,23
303,25
303,30
304,30
304,25
304,17
304,251
305,21
364,252
364,253
364,254
364,255
364,256
307,252
307,253
373,252
373,253
309,167
310,257
311,6
311,136
311,137
312,71
313,228
313,258
314,254
315,22
315,259
315,260
316,261
317,23
317,74
317,262
317,21
318,258
319,6
319,25
319,153
319,263
320,264
321,265
322,84
323,75
323,243
324,266
325,267
326,265
327,268
327,123
327,21
327,165
327,269
327,270
328,193
329,7
330,193
331,271
332,272
333,156
333,84
333,162
334,193
335,42
336,273
337,274
337,275
338,162
339,266
340,161
341,276
342,15
342,41
342,6
342,39
342,229
343,9
344,57
344,277
344,278
345,23
345,25
345,155
345,149
346,163
346,51
346,147
347,6
347,149
348,57
348,173
348,30
348,25
349,279
350,44
351,280
351,281
351,282
352,225
353,283
353,284
354,285
354,286
354,287
354,288
355,289
355,280
356,17
356,290
357,179
357,2
358,30
359,291
359,22
359,286
359,292
359,293
359,294
360,295
361,296
361,297
362,298
363,30
363,143
363,25
363,299
363,22
363,300
363,301
363,222
364,252
364,256
364,254
364,255
364,253
365,302
366,303
367,103
367,304
367,305
367,306
368,298
369,252
369,253
370,236
370,127
370,30
370,307
370,308
370,309
371,60
372,21
372,161
372,84
372,310
373,252
373,253
374,311
375,312
375,249
375,313
375,314
375,315
375,316
375,90
375,317
375,318
375,319
376,320
377,321
378,322
379,44
380,292
381,323
382,6
382,324
382,325
382,94
383,24
384,106
385,84
386,165
386,326
3680,23
3680,327
3680,25
3680,328
3680,329
388,23
388,6
388,330
389,331
390,332
390,25
390,30
391,16
391,333
392,334
393,22
393,286
393,271
393,335
394,336
395,127
396,337
397,338
397,30
397,25
397,155
397,36
397,339
397,178
397,143
398,6
398,30
398,340
398,341
398,248
398,74
398,236
398,143
398,342
399,16
399,343
400,163
401,344
401,345
402,23
402,6
402,30
402,25
403,346
404,99
405,347
406,6
407,348
408,281
409,257
410,349
411,21
411,30
411,25
412,6
413,350
414,6
414,123
415,351
416,6
416,0
417,236
418,236
419,23
419,22
419,21
419,352
420,20
421,353
422,354
423,355
424,6
424,39
424,86
424,136
425,292
426,41
427,257
428,356
428,357
429,103
429,6
430,358
431,22
431,359
431,360
431,294
431,361
432,362
432,156
433,363
433,364
434,365
434,30
434,25
434,143
434,366
434,367
434,163
434,368
435,358
436,238
436,0
436,250
437,63
437,141
437,21
437,64
437,218
437,369
437,370
438,369
439,10
440,365
440,25
440,30
440,143
440,366
440,367
440,163
440,368
441,371
442,288
443,239
443,226
443,30
444,30
444,372
444,373
445,63
446,374
447,110
448,375
449,1
450,285
450,288
451,376
452,10
453,10
454,106
455,0
455,6
455,149
455,30
455,377
456,288
457,15
457,41
457,6
457,39
457,229
458,10
459,378
459,298
460,10
461,10
462,6
462,52
463,114
464,298
465,10
466,10
467,10
468,10
469,22
469,86
470,379
470,380
470,381
470,382
470,383
470,384
470,385
471,114
472,10
473,10
474,10
475,10
476,10
477,10
478,10
479,10
480,386
481,363
481,51
481,147
482,387
483,6
483,74
483,388
483,73
484,52
485,389
486,6
486,31
487,30
487,25
487,36
487,251
488,390
489,391
490,392
490,393
490,394
490,395
490,396
490,397
490,156
490,398
490,30
490,399
490,257
490,400
490,345
490,401
490,402
490,41
490,403
490,99
491,6
493,10
494,10
495,404
496,10
497,10
498,10
499,10
500,10
501,10
502,405
503,10
504,406
504,6
505,407
506,408
507,60
508,6
508,409
509,410
510,25
510,411
511,30
511,25
511,60
511,52
511,143
512,364
513,412
514,10
515,413
515,127
515,414
516,6
516,25
516,415
517,416
517,382
517,383
517,417
518,418
518,419
519,420
520,10
521,6
521,421
522,6
522,17
523,422
524,423
525,424
525,425
525,31
526,426
527,383
527,427
528,1
529,298
529,428
530,429
531,430
532,431
533,6
534,432
534,420
534,433
534,434
534,435
535,44
536,436
537,437
538,430
539,6
539,74
539,73
540,302
540,152
541,438
542,439
543,6
543,141
543,64
544,440
546,30
546,372
547,441
548,6
548,74
548,409
548,147
549,442
549,443
550,6
551,23
551,444
552,21
552,445
553,6
554,222
555,6
556,446
556,447
557,6
558,388
558,448
558,6
558,449
558,450
558,451
558,0
558,452
576,10
560,6
561,453
561,454
561,455
562,2
563,23
563,6
563,17
564,456
564,457
565,6
566,456
566,457
567,2
568,6
568,25
569,52
569,2
570,10
571,6
572,458
573,292
573,459
574,10
575,376
576,10
577,21
577,156
577,82
577,30
577,460
577,161
577,83
577,227
578,22
578,461
578,24
579,462
580,463
580,464
580,465
580,466
580,467
580,468
580,469
580,470
580,128
580,249
580,314
580,471
581,22
582,6
583,248
584,6
585,197
586,472
586,473
587,474
588,30
